 区站号 站名              经度    纬度     台站高度
50353 呼玛                  126.65   51.72  830.00
50425 额尔古纳右旗          120.18   50.25   69.00
50468 黑河                  127.45   50.25   55.00
50514 满州里                117.43   49.57  430.00
50525 鄂温克旗              119.75   49.15 1318.00
50557 嫩江                  125.23   49.17 1014.00
50564 孙吴                  127.35   49.43  318.00
50639 扎兰屯                122.73   48.00  688.00
50645 莫力达瓦旗            124.48   48.47 1197.00
50655 德都                  126.50   48.55 1342.00
50658 克山                  125.88   48.05 1040.00
50673 嘉阴                  130.40   48.88  283.00
50739 龙江                  123.18   47.33  212.00
50742 富裕                  124.48   47.80  917.00
50755 拜泉                  126.10   47.60  296.00
50756 海伦                  126.97   47.43 1101.00
50779 抚远                  134.28   48.36  898.00
50788 富锦                  131.98   47.23   80.00
50844 泰来                  123.42   46.40  151.00
50851 青冈                  126.10   46.68  344.00
50854 安达                  125.32   46.38  597.00
50861 庆安                  127.48   46.88  805.00
50867 巴彦                  127.35   46.08  935.00
50871 汤原                  129.88   46.73  341.00
50873 佳木斯                130.28   46.81  805.00
50877 依兰                  129.58   46.30  164.00
50879 桦南                  130.52   46.20 1143.00
50880 集贤                  131.13   46.71 1201.00
50888 宝清                  132.18   46.32  861.00
50892 饶河                  134.00   46.80 1256.00
50928 巴雅尔吐胡硕          120.33   45.07  560.00
50934 突泉                  121.55   45.40  331.00
50936 白城                  122.83   45.63  913.00
50945 大安                  124.27   45.50  173.00
50946 松原                  124.83   45.18  879.00
50949 前郭尔罗斯            124.87   45.08  687.00
50953 哈尔滨                126.77   45.75  388.00
50954 肇源                  125.08   45.50 1482.00
50955 双城                  126.30   45.38  807.00
50958 阿城                  126.95   45.52 1250.00
50963 通河                  128.73   45.97  607.00
50964 方正                  128.80   45.83  515.00
50968 尚志                  127.97   45.22 1110.00
50973 勃利                  130.55   45.75  736.00
50979 林口                  130.23   45.27 1008.00
50983 虎林                  132.97   45.77 1203.00
51053 哈巴河                 86.40   48.05  134.00
51068 福海                   87.47   47.12 1226.00
51076 阿勒泰                 88.08   47.73  328.00
51133 塔城                   83.00   46.73 1188.00
51238 博乐                   82.06   44.90 1012.00
51334 精河                   82.90   44.62  831.00
51346 乌苏                   84.66   44.43 1106.00
51352 炮台                   85.25   44.85 1429.00
51353 莫索湾                 86.10   45.02 1287.00
51357 沙湾                   85.62   44.33  329.00
51358 沙湾（乌兰乌苏）       85.81   44.28  340.00
51359 玛纳斯                 86.20   44.32  129.00
51367 呼图壁                 86.82   44.13  176.00
51368 昌吉                   87.43   44.01  432.00
51378 吉木萨尔               89.17   44.02  278.00
51379 奇台                   89.57   44.02 1394.00
51431 伊宁                   81.33   43.95  193.00
51436 新源                   83.30   43.45  572.00
51437 昭苏                   81.13   43.15  926.00
51463 乌鲁木齐               87.62   43.78  734.00
51469 乌鲁木齐牧试           87.12   43.28  836.00
51542 巴音                   84.15   43.03  518.00
51567 焉耆                   86.56   42.08  151.00
51568 和硕                   86.80   42.25 1154.00
51571 托克逊                 88.63   42.80  721.00
51572 吐鲁番东坎             89.25   42.83  911.00
51573 吐鲁番                 89.20   42.93  152.00
51628 阿克苏                 80.23   41.16 1330.00
51629 温宿                   80.23   41.27  564.00
51633 拜城                   81.90   41.78  226.00
51639 沙雅                   82.78   41.23 1026.00
51642 轮台                   84.25   41.78  794.00
51644 库车                   82.95   41.72  325.00
51655 尉犁                   86.27   41.35  535.00
51656 库尔勒                 86.13   41.75  149.00
51704 阿图什                 76.17   39.72  770.00
51705 乌恰                   75.25   39.72  450.00
51708 可克陶                 75.95   39.15 1264.00
51709 喀什                   75.98   39.47  441.00
51711 阿合奇                 78.45   40.93  396.00
51716 巴楚                   78.57   39.80 1097.00
51717 岳普湖                 76.78   39.25 1491.00
51722 阿瓦提                 80.40   40.65 1284.00
51730 阿尔                   81.05   40.50   52.00
51777 若羌                   88.17   39.03 1173.00
51810 麦盖提                 77.63   38.92  767.00
51811 莎车                   77.27   38.43 1404.00
51828 和田                   79.93   37.13 1371.00
51855 且末                   85.55   38.15  362.00
51886 茫崖                   90.22   38.35   83.00
51931 于田                   81.66   36.86  283.00
52101 巴里坤                 93.00   43.60 1232.00
52203 哈密                   93.52   42.82  752.00
52418 敦煌                   94.68   40.15  964.00
52533 酒泉                   98.48   39.77  558.00
